neg,neu,pos,compound
0.0,0.323,0.677,0.6361
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.7351
0.317,0.608,0.075,-0.8842
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.827,0.173,0.2724
0.34,0.66,0.0,-0.6868
0.173,0.737,0.09,-0.5994
0.0,0.323,0.677,0.6369
0.0,1.0,0.0,0.0
0.787,0.213,0.0,-0.5719
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.894,0.106,0.0772
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.2263
0.0,1.0,0.0,0.0
0.071,0.929,0.0,-0.2263
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.423,0.577,0.0,-0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4215
0.0,0.0,1.0,0.4404
0.0,1.0,0.0,0.0
0.432,0.568,0.0,-0.5531
0.0,0.0,1.0,0.6908
0.0,0.641,0.359,0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,1.0,0.0,0.0
0.0,0.931,0.069,0.3182
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.142,0.737,0.121,-0.1027
0.0,0.0,1.0,0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.444,0.556,0.0,-0.5859
0.092,0.908,0.0,-0.0572
0.0,0.345,0.655,0.2263
0.107,0.893,0.0,-0.4588
0.121,0.717,0.161,-0.0258
0.0,0.256,0.744,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.606,0.394,0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.655,0.345,0.0,-0.6908
0.0,1.0,0.0,0.0
0.236,0.764,0.0,-0.6681
0.0,1.0,0.0,0.0
0.213,0.787,0.0,-0.7774
0.196,0.678,0.126,-0.8074
0.0,1.0,0.0,0.0
0.0,0.385,0.615,0.4939
0.345,0.655,0.0,-0.5707
0.0,1.0,0.0,0.0
0.185,0.815,0.0,-0.3612
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,-0.4767
1.0,0.0,0.0,-0.3818
1.0,0.0,0.0,-0.4404
0.0,0.874,0.126,0.354
0.0,0.517,0.483,0.4215
0.365,0.635,0.0,-0.7105
0.0,0.256,0.744,0.4404
0.0,1.0,0.0,0.0
0.251,0.749,0.0,-0.5719
0.659,0.341,0.0,-0.926
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,-0.5423
0.0,1.0,0.0,0.0
0.197,0.803,0.0,-0.4019
0.0,0.435,0.565,0.3804
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.396,0.604,0.0,-0.5991
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.256,0.744,0.4404
0.0,1.0,0.0,0.0
0.22,0.599,0.181,-0.4118
0.441,0.559,0.0,-0.9516
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.916,0.084,0.1655
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,1.0,0.0,0.0
0.0,0.707,0.293,0.4404
0.0,0.0,1.0,0.4404
0.0,1.0,0.0,0.0
0.234,0.532,0.234,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.2263
0.0,1.0,0.0,0.0
0.0,0.258,0.742,0.6956
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.7096
0.0,0.263,0.737,0.4215
0.0,0.263,0.737,0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.412,0.588,0.431
0.0,0.0,1.0,0.5859
0.0,0.0,1.0,0.5719
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.444,0.556,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.263,0.737,0.4215
0.0,0.0,1.0,0.25
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,-0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.203,0.797,0.0,-0.2584
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
